,SINUS,AFIB,AFL,SVTA,VT,AVB1,2AVB,AVB3,SBRAD,STACH
mitdb,(N,(AFIB,(AFL,(SVTA,(VT,,(BII,,(SBR,
incartdb,(N,(AFIB,(AFL,(SVTA,(VT,,(BII,,(SBR,
svdb,(N,(AFIB,(AFL,(SVTA,(VT,,(BII,,(SBR,
afdb,(N,(AFIB,(AFL,(SVTA,(VT,,(BII,,(SBR,
ltafdb,(N,(AFIB,(AFL,(SVTA,(VT,,(BII,,(SBR,
savvydb,(N,(AFIB,(AFL,(SVTA,(VT,,(BII,,(SBR,
irhythm-test,SINUS,AFIB,AFL,SVT,VT,,"WENCKEBACH, AVBTYPE2",CHB,,
cpsc2018,,"AF, 2",,,,"I-AVB, 3",,,,
arr10000,SR,AFIB,AF,SVT,,,"2AVB1, 2AVB2",3AVB,SB,ST
cinc2017,N,A,,,,,,,,
ptb-xl,SR,AFIB,AFLT,"SVTAC, PSVT",,1AVB,2AVB,3AV,SBRAD,STACH
